bathrooms,bedrooms,price,sizeMin,furnishing,price_per_m2,region
2,2,744000,93,1,8000,Downtown Dubai
4,3,1428000,172,0,8302,Downtown Dubai
6,5,6000000,659,0,9104,Dubai Hills Estate
1,0,102000,40,1,2550,Dubai Sports City
3,2,612000,129,1,4744,Business Bay
1,1,276000,70,0,3942,Greens
3,2,672000,157,0,4280,Mohammed Bin Rashid City
1,1,818400,77,0,10628,Dubai Harbour
3,2,900000,166,0,5421,Palm Jumeirah
4,3,1248000,175,0,7131,Umm Suqeim
2,1,792000,125,0,6336,Palm Jumeirah
4,3,1248000,171,1,7298,Umm Suqeim
2,2,948000,205,0,4624,Dubai Creek Harbour (The Lagoons)
4,3,1438800,194,0,7416,Dubai Marina
1,0,192000,27,0,7111,Barsha Heights (Tecom)
1,0,156000,36,0,4333,Jumeirah Village Triangle
5,4,1116000,376,0,2968,Jebel Ali
3,3,564000,174,0,3241,Arabian Ranches 3
5,5,6000000,647,1,9273,Downtown Dubai
6,4,6431999,484,0,13289,Downtown Dubai
4,4,720000,186,1,3870,Dubai Land
5,5,732000,183,0,4000,Damac Lagoons
3,2,1303200,126,1,10342,Palm Jumeirah
6,4,2700000,546,0,4945,Deira
2,2,967200,149,0,6491,Business Bay
4,3,720000,166,0,4337,Yas Island
3,2,276000,116,1,2379,Dubai Sports City
4,2,2400000,212,0,11320,Saadiyat Island
1,1,396000,62,1,6387,Dubai Creek Harbour (The Lagoons)
2,1,420000,84,0,5000,Dubai Marina
2,1,576000,110,0,5236,Dubai Marina
1,1,564000,65,1,8676,Dubai Creek Harbour (The Lagoons)
3,3,528000,215,0,2455,Dubai South (Dubai World Central)
3,2,672000,132,0,5090,Expo City
7,7,7920000,1264,1,6265,Dubai Hills Estate
3,2,759120,93,0,8162,Downtown Dubai
4,3,525600,172,0,3055,Al Furjan
2,2,720000,111,1,6486,Downtown Dubai
4,2,736346,167,0,4409,Yas Island
1,1,599760,88,1,6815,Dubai Marina
1,0,157680,35,1,4505,Jumeirah Village Circle
5,4,4079999,321,0,12710,Palm Jumeirah
4,2,864000,117,0,7384,City Walk
2,2,468000,110,0,4254,Dubai Marina
4,4,2400000,343,0,6997,Dubai Hills Estate
3,3,672000,193,0,3481,Arabian Ranches 3
1,1,468000,68,0,6882,Downtown Dubai
3,2,336000,102,0,3294,Dubai Production City (IMPZ)
2,1,199200,92,0,2165,Jumeirah Village Circle
1,0,155999,29,0,5379,Meydan
4,3,384000,174,0,2206,Al Reef
1,1,432000,81,0,5333,Business Bay
2,1,408000,65,0,6276,Dubai Hills Estate
3,3,888000,139,0,6388,Dubai Hills Estate
4,2,936000,170,1,5505,Dubai Marina
2,2,624000,130,0,4800,Mina Rashid
3,2,588000,87,0,6758,Mohammed Bin Rashid City
